MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,TotalSF,HasAlley,Neighborhood_ord,Conditions_vals,Age,Roof_ord,Bsmt_ord_sum,TotalBath
20,RL,85.0,10176,4,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,Gable,CompShg,HdBoard,HdBoard,NA,0.0,3,3,PConc,4,3,5,6,637.0,663.0,1300.0,4,1,1341,1.0,1,1,2,1,4,5,Typ,1,Attchd,1,2.0,506.0,3,3,192,0,0,0,0,2,2010,WD ,Normal,171500,12.052344376474922,2641.0,0,3.0,1,20,1,60,3.0
120,RL,93.66129032258064,6820,3,Lvl,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,Gable,CompShg,HdBoard,HdBoard,NA,0.0,4,3,PConc,4,3,4,6,368.0,0.0,1488.0,3,1,1502,1.0,1,1,1,1,4,4,Typ,0,Attchd,2,2.0,528.0,3,3,0,1,0,140,0,6,2010,WD ,Normal,212000,12.264346270624157,2990.0,0,4.0,1,25,1,48,3.0
50,RL,152.0,12134,3,Bnk,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,2005,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,4,3,Wood,4,3,4,6,427.0,132.0,559.0,4,1,1752,0.0,2,0,4,1,3,8,Typ,0,Basment,2,2.0,492.0,3,3,325,1,0,0,0,6,2010,WD ,Normal,164000,12.00762780434872,2311.0,0,3.0,1,5,1,48,2.0
20,RL,93.66129032258064,11394,4,Lvl,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,4,6,1445.0,411.0,1856.0,5,1,1856,1.0,1,1,1,1,5,8,Typ,1,Attchd,3,3.0,834.0,3,3,113,0,0,0,0,6,2010,New,Partial,394432,12.885204569609956,3712.0,0,4.0,1,0,2,60,3.0
20,RL,72.30699774266365,19138,4,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,CBlock,3,3,1,2,120.0,744.0,864.0,5,1,864,0.0,1,0,2,1,3,4,Typ,0,Detchd,1,2.0,400.0,3,3,0,0,0,0,0,6,2010,WD ,Normal,141000,11.856522261533737,1728.0,0,3.0,1,59,1,9,1.0
20,RL,85.0,13175,4,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,1,5,790.0,589.0,1542.0,3,1,2073,1.0,2,0,3,1,3,7,Min1,1,Attchd,1,2.0,500.0,3,3,349,0,0,0,1,2,2010,WD ,Normal,210000,12.25486757159303,3615.0,0,2.0,1,22,1,12,3.0
20,RL,105.0,11751,3,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1139.0,1844.0,5,1,1844,0.0,2,0,3,1,3,7,Typ,1,Attchd,2,2.0,546.0,3,3,0,1,0,0,1,1,2010,COD,Normal,190000,12.154784614286667,3688.0,0,2.0,1,33,2,12,2.0
85,RL,85.0,10625,4,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,5,6,885.0,0.0,1053.0,3,1,1173,1.0,2,0,3,1,4,6,Typ,1,Attchd,2,2.0,528.0,3,3,0,1,0,0,1,1,2010,WD ,Family,170000,12.04355959836804,2226.0,0,2.0,1,36,1,60,3.0
60,FV,65.1647564469914,7500,4,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,3,1,6,533.0,281.0,814.0,5,1,1674,1.0,2,1,3,1,4,7,Typ,0,Attchd,2,2.0,663.0,3,3,0,1,0,0,0,1,2010,WD ,Normal,216000,12.283038316285214,2488.0,0,4.0,1,10,1,12,4.0
20,RL,56.98571428571429,11241,3,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,426.0,1004.0,5,1,1004,1.0,1,0,2,1,3,5,Typ,1,Attchd,3,2.0,480.0,3,3,0,0,0,0,0,3,2010,WD ,Normal,149000,11.91170829631447,2008.0,0,1.0,1,40,1,9,2.0
20,RL,56.98571428571429,12537,3,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,2008,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,CBlock,3,3,1,6,734.0,344.0,1078.0,5,1,1078,1.0,1,1,3,1,3,6,Typ,1,Attchd,3,2.0,500.0,3,3,0,0,0,0,0,4,2010,WD ,Normal,149900,11.917730355182513,2156.0,0,1.0,1,2,1,9,3.0
20,RL,65.0,8450,4,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,CBlock,3,3,1,4,775.0,281.0,1056.0,5,1,1056,1.0,1,0,3,1,3,6,Typ,1,Attchd,1,1.0,304.0,3,3,0,1,184,0,0,7,2010,WD ,Normal,142000,11.863589378812122,2112.0,0,1.0,1,42,1,9,2.0
20,RL,70.0,8400,4,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,Gable,CompShg,Plywood,Plywood,NA,0.0,3,3,CBlock,3,3,1,5,804.0,0.0,882.0,3,1,882,1.0,1,0,2,1,3,4,Typ,0,Attchd,3,2.0,525.0,3,3,240,0,0,0,1,4,2010,WD ,Normal,126000,11.744045122410057,1764.0,0,1.0,1,40,1,9,2.0
20,RL,70.0,10500,4,Lvl,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,Gable,CompShg,HdBoard,HdBoard,NA,0.0,3,3,CBlock,3,3,1,5,432.0,432.0,864.0,3,1,864,0.0,1,0,3,1,3,5,Typ,1,NA,0,0.0,0.0,0,0,0,0,0,0,0,4,2010,ConLI,Normal,115000,11.652696102959753,1728.0,0,1.0,1,39,1,9,1.0
120,RH,26.0,5858,3,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,Gable,CompShg,MetalSd,MetalSd,NA,0.0,4,3,PConc,4,3,1,6,1051.0,354.0,1405.0,5,1,1337,1.0,2,0,2,1,4,5,Typ,1,Attchd,3,2.0,511.0,3,3,203,1,0,0,0,6,2010,WD ,Normal,184000,12.122696471358964,2742.0,0,1.0,1,11,1,12,3.0
160,RM,21.0,1680,4,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,1,3,156.0,327.0,483.0,3,1,987,0.0,1,1,2,1,3,5,Typ,0,Detchd,1,1.0,264.0,3,3,275,0,0,0,0,2,2010,COD,Normal,96000,11.472113887062386,1470.0,0,2.0,1,39,1,9,2.0
160,RM,21.0,1680,4,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,225.0,525.0,3,1,1092,0.0,1,1,3,1,3,6,Typ,0,Detchd,1,1.0,320.0,3,3,0,0,0,0,0,3,2010,WD ,Normal,105500,11.566475710526321,1617.0,0,2.0,1,39,1,9,2.0
160,RM,21.0,1680,4,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,3,3,CBlock,3,3,1,1,0.0,525.0,525.0,3,1,1092,0.0,1,1,3,1,3,6,Typ,0,Detchd,1,1.0,264.0,3,3,0,0,0,0,0,3,2010,WD ,Family,88000,11.385103457032141,1617.0,0,2.0,1,39,1,9,2.0
120,RL,53.0,4043,4,Lvl,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,Gable,CompShg,Plywood,Plywood,NA,0.0,3,3,CBlock,4,3,1,5,360.0,709.0,1069.0,3,1,1069,0.0,2,0,2,1,3,4,Typ,1,Attchd,2,2.0,440.0,3,3,0,1,0,165,0,7,2010,WD ,Normal,127500,11.755879486687116,2138.0,0,2.0,1,33,1,12,2.0
160,RL,56.98571428571429,2280,4,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,Gable,CompShg,Plywood,Brk Cmn,NA,0.0,3,3,CBlock,3,3,1,5,514.0,341.0,855.0,3,1,1456,0.0,2,1,3,1,4,6,Typ,1,Attchd,1,2.0,440.0,3,3,173,0,0,0,0,6,2010,WD ,Normal,149900,11.917730355182513,2311.0,0,2.0,1,35,1,9,3.0
120,RL,56.98571428571429,2280,4,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,Gable,CompShg,Plywood,Brk Cmn,NA,0.0,3,3,CBlock,4,3,1,1,0.0,836.0,836.0,5,1,836,0.0,1,0,2,1,3,4,Typ,0,Attchd,1,1.0,308.0,3,3,0,1,0,0,0,6,2010,WD ,Normal,120000,11.695255355062795,1672.0,0,2.0,1,35,1,12,1.0
160,RL,56.98571428571429,2280,4,Lvl,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,Gable,CompShg,Plywood,Brk Cmn,NA,0.0,3,3,CBlock,4,3,1,5,311.0,544.0,855.0,2,1,1456,0.0,2,1,3,1,3,7,Typ,1,Attchd,1,2.0,440.0,3,3,26,0,0,0,0,7,2010,WD ,Normal,146000,11.891368749982085,2311.0,0,2.0,1,32,1,12,3.0
60,RL,102.0,12858,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,1,1,0.0,1590.0,1590.0,5,1,2334,0.0,2,1,3,1,5,10,Typ,1,Attchd,3,3.0,751.0,3,3,144,1,0,0,0,1,2010,New,Partial,376162,12.837777839071741,3924.0,0,4.0,1,0,1,15,3.0
20,RL,98.0,11478,4,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,486.0,1704.0,5,1,1704,1.0,2,0,3,1,4,7,Typ,1,Attchd,2,3.0,772.0,3,3,0,1,0,0,0,5,2010,WD ,Normal,306000,12.631343648903034,3408.0,0,4.0,1,2,1,15,3.0
20,RL,83.0,10159,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,5,3,PConc,5,3,4,6,1646.0,284.0,1930.0,5,1,1940,1.0,2,1,3,1,5,8,Typ,1,Attchd,3,3.0,606.0,3,3,168,1,0,0,0,4,2010,New,Partial,395192,12.887129532148373,3870.0,0,4.0,1,0,2,60,4.0
20,RL,94.0,12883,3,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,1,1,0.0,1544.0,1544.0,5,1,1544,0.0,2,0,3,1,4,7,Typ,0,Attchd,2,3.0,868.0,3,3,0,1,0,0,0,6,2010,New,Partial,290941,12.580879213573434,3088.0,0,4.0,1,0,1,12,2.0
20,RL,95.0,12182,4,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,3,4,1201.0,340.0,1541.0,5,1,1541,0.0,2,0,3,1,4,7,Typ,1,Attchd,2,2.0,532.0,3,3,0,1,0,0,0,5,2010,New,Partial,220000,12.301387370778713,3082.0,0,4.0,1,5,1,36,2.0
20,RL,90.0,11520,4,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5,3,1,6,110.0,1588.0,1698.0,5,1,1698,0.0,2,0,3,1,5,7,Typ,1,Attchd,3,3.0,730.0,3,3,192,1,0,0,0,6,2010,WD ,Normal,275000,12.524530013005734,3396.0,0,4.0,2,5,2,15,2.0
20,RL,56.98571428571429,14122,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,3,PConc,5,3,1,6,28.0,1794.0,1822.0,5,1,1822,0.0,2,0,3,1,5,8,Typ,1,Attchd,2,3.0,678.0,3,3,0,1,0,0,0,2,2010,WD ,Normal,259000,12.464587201678082,3644.0,0,4.0,1,4,2,15,2.0
20,RL,70.0,10171,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,4,3,PConc,4,3,1,6,2.0,1515.0,1517.0,5,1,1535,0.0,2,0,3,1,4,7,Typ,0,Attchd,2,2.0,532.0,3,3,0,0,0,0,0,3,2010,WD ,Normal,214000,12.273735966890268,3052.0,0,4.0,1,6,1,12,2.0
20,RL,65.1647564469914,12919,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,5,3,PConc,5,3,5,6,2188.0,142.0,2330.0,5,1,2364,1.0,2,1,2,1,5,11,Typ,1,Attchd,3,3.0,820.0,3,3,0,1,0,0,0,3,2010,New,Partial,611657,13.323928581764989,4694.0,0,4.0,1,0,2,75,4.0
120,RL,44.0,6371,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,4,3,PConc,4,3,3,6,733.0,625.0,1358.0,5,1,1358,1.0,2,0,2,1,4,6,Typ,1,Attchd,2,2.0,484.0,3,3,192,1,0,0,0,6,2010,New,Partial,224000,12.319405795112926,2716.0,0,4.0,1,0,1,36,3.0
20,RL,72.30699774266365,14300,4,HLS,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,5,3,PConc,5,3,5,6,1373.0,1473.0,2846.0,5,1,2696,1.0,2,1,3,1,5,10,Typ,1,Attchd,3,3.0,958.0,3,3,220,1,0,0,0,6,2010,WD ,Normal,500000,13.122365377402328,5542.0,0,4.0,1,6,2,75,4.0
60,RL,105.0,13650,4,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,4,3,PConc,4,3,5,6,578.0,1093.0,1671.0,5,1,2250,1.0,2,1,3,1,4,7,Typ,1,Attchd,3,3.0,756.0,3,3,238,1,0,0,0,6,2010,WD ,Normal,320000,12.676079399771027,3921.0,0,4.0,1,8,1,60,4.0
120,RL,61.0,7658,4,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456.0,1296.0,1752.0,5,1,1752,1.0,2,0,2,1,5,6,Typ,1,Attchd,2,2.0,576.0,3,3,196,1,0,0,0,2,2010,WD ,Normal,319900,12.675766851909591,3504.0,0,4.0,1,5,2,15,3.0
120,RL,41.0,7132,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,3,3,6,24.0,1346.0,1370.0,5,1,1370,0.0,2,0,2,1,4,6,Typ,1,Attchd,2,2.0,484.0,3,3,120,1,0,0,0,4,2010,WD ,Normal,205000,12.230770136157428,2740.0,0,4.0,1,4,1,36,2.0
160,RL,36.0,2628,4,Lvl,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,764.0,764.0,5,1,1626,0.0,2,1,2,1,4,6,Typ,0,BuiltIn,2,2.0,474.0,3,3,0,1,0,0,0,6,2010,WD ,Normal,175500,12.075400019877522,2390.0,0,4.0,1,7,1,12,3.0
20,RL,65.1647564469914,18494,3,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,3,1,1,0.0,1324.0,1324.0,5,1,1324,0.0,2,0,3,1,4,6,Typ,0,Attchd,3,2.0,430.0,3,3,36,1,0,0,0,1,2010,WD ,Normal,199500,12.20357452783082,2648.0,0,3.0,1,5,1,12,2.0
120,RL,43.0,3203,4,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,4,3,PConc,4,3,4,6,16.0,1129.0,1145.0,5,1,1145,0.0,2,0,2,1,4,6,Typ,0,Attchd,3,2.0,437.0,3,3,100,1,0,0,0,1,2010,WD ,Normal,160000,11.982935344196433,2290.0,0,3.0,1,4,1,48,2.0
120,RL,43.0,3182,4,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,1,6,24.0,1232.0,1256.0,5,1,1269,0.0,2,0,2,1,4,6,Typ,1,Attchd,3,2.0,430.0,3,3,146,1,0,144,0,4,2010,WD ,Normal,192000,12.165255859329688,2525.0,0,3.0,1,5,1,12,2.0
80,RL,67.0,13300,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,3,1,6,326.0,58.0,384.0,5,1,1374,1.0,2,1,3,1,4,7,Typ,1,BuiltIn,3,2.0,400.0,3,3,100,0,0,0,0,6,2010,WD ,Normal,184500,12.12541016250223,1758.0,0,3.0,1,6,1,12,4.0
60,RL,65.1647564469914,7851,4,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,3,1,6,625.0,235.0,860.0,5,1,1960,1.0,2,1,4,1,4,8,Typ,1,BuiltIn,3,2.0,440.0,3,3,288,1,0,0,0,5,2010,WD ,Normal,216500,12.285350445351659,2820.0,0,3.0,1,8,1,12,4.0
60,RL,63.0,8577,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,3,1,1,0.0,847.0,847.0,5,1,1733,0.0,2,1,3,1,4,7,Typ,1,BuiltIn,3,2.0,433.0,3,3,144,1,0,0,0,4,2010,WD ,Normal,185088,12.12859206945914,2580.0,0,3.0,1,6,1,12,3.0
80,RL,72.30699774266365,7750,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,4,3,1,6,250.0,134.0,384.0,5,1,1430,0.0,2,1,3,1,3,7,Typ,1,BuiltIn,3,2.0,400.0,3,3,180,0,0,0,0,4,2010,WD ,Normal,180000,12.100717685412471,1814.0,0,3.0,1,10,1,12,3.0
60,RL,56.98571428571429,9505,3,Lvl,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,4,3,PConc,4,3,1,1,0.0,884.0,884.0,5,1,2035,0.0,2,1,3,1,4,8,Typ,1,BuiltIn,3,2.0,434.0,3,3,144,1,0,0,0,5,2010,WD ,Normal,222500,12.312686874960354,2919.0,0,3.0,1,9,1,12,3.0
60,RL,56.98571428571429,14774,3,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,165.0,4,3,PConc,4,3,1,1,0.0,1393.0,1393.0,5,1,2599,0.0,2,1,4,1,4,10,Typ,1,BuiltIn,3,3.0,779.0,3,3,668,1,0,0,0,5,2010,WD ,Normal,333168,12.716405147731708,3992.0,0,4.0,1,11,1,12,3.0
